,model
0,0.0
20969,0.08143343571963833
41938,0.14617361804142548
62907,0.19931279515884825
83876,0.23750317169169793
104845,0.2732252659705916
125814,0.3076286143613107
146783,0.3404381824083026
167752,0.37171063196524007
188721,0.4007136183565347
209690,0.42904754437498627
230659,0.4513678349629059
251628,0.47109199929310136
272597,0.48993545987988274
293566,0.5065036489713279
314535,0.5236847487816998
335504,0.5394718393122775
356473,0.5543433418302277
377442,0.5681583299561922
398411,0.5817312497253062
419380,0.5956944991296014
440349,0.6082201006198268
461318,0.620985428792211
482287,0.6335829185856823
503256,0.6456847572865543
524225,0.656884430726891
545194,0.667423868633929
566163,0.6775470926456479
587132,0.6868260072499736
608101,0.6946549165881419
629070,0.7017358522185273
650039,0.7113550061418074
671008,0.718954220912621
691977,0.7266101479741243
712946,0.7342950504593575
733915,0.7410323086369786
754884,0.7472471668289856
775853,0.7545239903764835
796822,0.7615736473697824
817791,0.7670876513022856
838760,0.7727782542375892
859729,0.7796802283108942
880698,0.7857073048096881
901667,0.7917161586679087
922636,0.7970183612144759
943605,0.8022624915827828
964574,0.80701322554294
985543,0.8123247550630406
1006512,0.8168059883969138
1027481,0.8206958738565817
1048450,0.8249140503244694
1069419,0.8281374688033141
1090388,0.8321148594923049
1111357,0.8356262729844011
1132326,0.8397203339308229
1153295,0.8447294781189825
1174264,0.847884117990707
1195233,0.850840071844136
1216202,0.8541495924020646
1237171,0.8576803978789934
1258140,0.8605986605547116
1279109,0.8639102329651971
1300078,0.8664943610650016
1321047,0.8697079721480854
1342016,0.8721976453315738
1362985,0.8744496899874974
1383954,0.8770357301565758
1404923,0.8790626982446644
1425892,0.8812974633040996
1446861,0.883732882026794
1467830,0.8860994248143103
1488799,0.8890533747766078
1509768,0.8913406917158673
1530737,0.8929523742566928
1551706,0.8958066888057324
1572675,0.8980437322762389
1593644,0.9009267343355303
1614613,0.9036691496699001
1635582,0.905403256206083
1656551,0.9075081907564476
1677520,0.9087351142296451
1698489,0.9111748924181983
1719458,0.9121116008650401
1740427,0.9133331211419378
1761396,0.9146731434260446
1782365,0.9159196680552304
1803334,0.917018929201405
1824303,0.9188918817676817
1845272,0.920719465104237
1866241,0.9218683750489015
1887210,0.9233889986551288
1908179,0.9245399989474608
1929148,0.9261663770685707
1950117,0.9277731843952013
1971086,0.9286555777229417
1992055,0.929440176195057
2013024,0.9299913234284064
2033993,0.9311059675729954
2054962,0.9321704953761962
2075931,0.9329863744377173
2096900,0.9350607990092467
2117869,0.9365136914557606
2138838,0.9378636102851259
2159807,0.9389966898492247
2180776,0.939755717734972
2201745,0.9404168800361402
2222714,0.9416955946220884
2243683,0.9425496505684613
2264652,0.9435583889969049
2285621,0.944436763982621
2306590,0.9449525512733196
2327559,0.9462828998983646
2348528,0.9474614837908213
2369497,0.9483931590726666
2390466,0.9491879073749281
2411435,0.9501780869095505
2432404,0.9512683196918751
2453373,0.9522470345157874
2474342,0.9530633567867112
2495311,0.9536079907578584
2516280,0.9547975369204217
2537249,0.9554753014120883
2558218,0.9562628949892746
2579187,0.9570103634298768
2600156,0.9578890500481141
2621125,0.9583887885837591
2642094,0.9590898379950323
2663063,0.9596490026382846
2684032,0.9606142370704035
2705001,0.9619024566883851
2725970,0.9631220248920048
2746939,0.9637408649411963
2767908,0.9644399831414934
2788877,0.965334526916152
2809846,0.9661267372955453
2830815,0.9666004725733744
2851784,0.9673414156606011
2872753,0.9679353132040163
2893722,0.9683914022443723
2914691,0.9691755444739443
2935660,0.9698049905946011
2956629,0.9703595056469544
2977598,0.9706003232703818
2998567,0.9712794413821303
3019536,0.9720080966441144
3040505,0.9729926494294748
3061474,0.9738123903367308
3082443,0.9744446211024511
3103412,0.9754244369670124
3124381,0.9761896574728025
3145350,0.9768136550213876
3166319,0.9773022749465932
3187288,0.9778028125590721
3208257,0.9780917000019255
3229226,0.9786965850735019
3250195,0.9788538926285092
3271164,0.9795032864432007
3292133,0.9803285236407063
3313102,0.9804579126807434
3334071,0.9808326978209468
3355040,0.9812551279854105
3376009,0.9815735080677264
3396978,0.9823962592907588
3417947,0.9823652358585706
3438916,0.9835423295148843
3459885,0.9847184918253336
3480854,0.9852663860160243
3501823,0.9861516545067834
3522792,0.98687839793376
3543761,0.9873937426212972
3564730,0.9877472078260503
3585699,0.9879871112612838
3606668,0.9883055372029244
3627637,0.9888981785748431
3648606,0.989248224841339
3669575,0.9900219030739844
3690544,0.990226673908397
3711513,0.9908455683361836
3732482,0.9906968863320594
3753451,0.9908985310495245
3774420,0.9909267558100538
3795389,0.9917836802659844
3816358,0.9922750624311589
3837327,0.9927608415270921
3858296,0.9930557912516477
3879265,0.9931526570765978
3900234,0.9933460767209541
3921203,0.9937826031920288
3942172,0.994759261127998
3963141,0.9952250635710401
3984110,0.9958164082239271
4005079,0.9963342126225084
4026048,0.9974694140935167
4047017,0.9984412888022028
4067986,0.9986460273605606
4088955,0.9998231084652159
4109924,1.001070009468837
4130893,1.001115532245133
4151862,0.9987976741572604
4172831,0.9994549071132715
4193800,0.9999143914569973
