,model,Random
2327559,0.9548756276509074,0.5574503115983769
2348528,0.955764450772682,0.562351314185462
2369497,0.9567009621610072,0.5672637198607959
2390466,0.9575340824259836,0.5730828938802234
2411435,0.9581093942865783,0.5778795333102849
2432404,0.9590330819282498,0.5838660701579748
2453373,0.9598900312501609,0.5885973425402855
2474342,0.9609797052732949,0.5946341706021998
2495311,0.9618008982349882,0.5995147367596514
2516280,0.9626580976768448,0.604585126150712
2537249,0.9633762847825723,0.6103033194089509
2558218,0.9642060089962511,0.6154530369442136
2579187,0.9649899883199534,0.6205320354827849
2600156,0.9659515820938289,0.6258337733105271
2621125,0.9666144301547595,0.6304879671596696
2642094,0.9672288004934515,0.6347731992095367
2663063,0.9679568642417531,0.6400656727948435
2684032,0.9685447830564445,0.6447110874562991
2705001,0.9687247485436487,0.6487667798374493
2725970,0.9690827615253067,0.6530830496444406
2746939,0.9698172042241042,0.6569926763472368
2767908,0.9704840279742486,0.6622793161515498
2788877,0.9710140771652499,0.666835425800796
2809846,0.9714844379390973,0.6715362492876071
2830815,0.9718225085155898,0.6761203419056616
2851784,0.9723733110530617,0.6814563612885773
2872753,0.9728341635067865,0.6861151440866806
2893722,0.9731293255679937,0.6906343277670993
2914691,0.9734602572501366,0.6969360035655444
2935660,0.9738399578315964,0.7022055013347431
2956629,0.974230962740054,0.706568144517977
2977598,0.9745711218776553,0.7116628687582167
2998567,0.9746480505389489,0.7176239138221376
3019536,0.9752688188455135,0.7222274565127281
3040505,0.9755879897371539,0.7265914895034652
3061474,0.9761391542448162,0.7317716577854522
3082443,0.9762665427652344,0.7367953057734573
3103412,0.9765372942595502,0.7423187251389604
3124381,0.9769481879020956,0.7465766618736971
3145350,0.9769462566898983,0.751624386055384
3166319,0.977164695318207,0.7565159648731107
3187288,0.9773795749378937,0.7619174463064063
3208257,0.9776771975330512,0.7676711286762928
3229226,0.977908449194677,0.7735667871940416
3250195,0.9782219358711419,0.7790731197039584
3271164,0.9785720494928045,0.7841793645736476
3292133,0.9788475702540641,0.788676489675381
3313102,0.9791107687067683,0.7937009867158482
3334071,0.97928864178823,0.7985229864381225
3355040,0.979708520204255,0.8031878047917013
3376009,0.9800147773623404,0.8077451974343587
3396978,0.980311805630544,0.812221625040556
3417947,0.9805522474905836,0.8169742698695888
3438916,0.9808357488174583,0.82254419210968
3459885,0.9810099570014156,0.8274174923147307
3480854,0.9816924292918925,0.8318654179495979
3501823,0.9821210174909046,0.8370953194249506
3522792,0.9826776425107283,0.8414748532426005
3543761,0.9830040541609437,0.8468360385036302
3564730,0.9835134042973273,0.8523944328006148
3585699,0.9837840020195034,0.8587260562496969
3606668,0.9843202457576572,0.8644100252159718
3627637,0.9847975367532597,0.8691955356684642
3648606,0.9851238331167185,0.873383565731206
3669575,0.9856436165087326,0.8788327622168024
3690544,0.9859791505676501,0.8837256010196421
3711513,0.9861335473847717,0.8881367548345062
3732482,0.9865742205293302,0.8927358285303918
3753451,0.986935528744873,0.8965632294287458
3774420,0.9873078059716983,0.9019415845081027
3795389,0.9877965552733421,0.9070227287255396
3816358,0.9879986524925893,0.9123138861900264
3837327,0.9883977482215132,0.9162404153959046
3858296,0.9890564546412906,0.9210763290760399
3879265,0.9898340078553183,0.9260833960557919
3900234,0.9902056988690564,0.9301560468126767
3921203,0.9905140125114492,0.935847722349203
3942172,0.9906205285745662,0.9412637998390555
3963141,0.9912788915287608,0.9459336093755978
3984110,0.992012165852364,0.9514253050669299
4005079,0.9930558767813107,0.9571831161826799
4026048,0.9942302171361043,0.9614939446683638
4047017,0.9955999559861002,0.9662564742024186
4067986,0.9963711509790827,0.970543866146503
4088955,0.9973989890332892,0.9758626431887124
4109924,0.9985667254312147,0.9806178167355749
4130893,1.0007726307707239,0.9863487063142745
4151862,1.00176621862875,0.9909838085130477
4172831,1.001984500095268,0.9954172827521542
4193800,0.9999314955060404,0.9999604679214755
