,model,Random
1992055,0.9358758240319842,0.4794684810254697
2013024,0.9374243240416641,0.48478565386504313
2033993,0.9387154915444565,0.4894713203435964
2054962,0.9403076079372455,0.4941202607914417
2075931,0.9419269116408149,0.49977951154587846
2096900,0.9430875869009295,0.5044502019135365
2117869,0.9444240399826846,0.5083289903276477
2138838,0.9457933361816322,0.5134084585440805
2159807,0.9471561519667879,0.518103672561701
2180776,0.9484479866007337,0.523555444953631
2201745,0.9493485401797912,0.5284955180730906
2222714,0.95033895654733,0.5336579027991122
2243683,0.9509401000239892,0.5381128849877356
2264652,0.9519372051009413,0.5435225554308377
2285621,0.952659823616089,0.5486019898081224
2306590,0.9533283493805221,0.552656332550339
2327559,0.9539222378331695,0.5574503115983769
2348528,0.9546842859419838,0.562351314185462
2369497,0.9552556971432876,0.5672637198607959
2390466,0.9555654357775282,0.5730828938802234
2411435,0.9560598105407161,0.5778795333102849
2432404,0.956655010369662,0.5838660701579748
2453373,0.9571320870965303,0.5885973425402855
2474342,0.9577707520047941,0.5946341706021998
2495311,0.9582496872701325,0.5995147367596514
2516280,0.9586397413740704,0.604585126150712
2537249,0.9590383623293255,0.6103033194089509
2558218,0.9595723944994667,0.6154530369442136
2579187,0.9600790471048143,0.6205320354827849
2600156,0.9604778144922387,0.6258337733105271
2621125,0.9609245342212855,0.6304879671596696
2642094,0.9615438501165089,0.6347731992095367
2663063,0.9619262436040501,0.6400656727948435
2684032,0.9626197949399404,0.6447110874562991
2705001,0.9631520855989614,0.6487667798374493
2725970,0.9635689740336639,0.6530830496444406
2746939,0.9641677494024524,0.6569926763472368
2767908,0.9647960805172875,0.6622793161515498
2788877,0.9655158764270213,0.666835425800796
2809846,0.9663975168786166,0.6715362492876071
2830815,0.9670482416288735,0.6761203419056616
2851784,0.9676036976275257,0.6814563612885773
2872753,0.9683435617684726,0.6861151440866806
2893722,0.9690376204151245,0.6906343277670993
2914691,0.9695209596112244,0.6969360035655444
2935660,0.9702947528089443,0.7022055013347431
2956629,0.9705683907920768,0.706568144517977
2977598,0.9710185722742901,0.7116628687582167
2998567,0.9714610870569131,0.7176239138221376
3019536,0.972001095255267,0.7222274565127281
3040505,0.9725375134423301,0.7265914895034652
3061474,0.9728373137735253,0.7317716577854522
3082443,0.9731850946213907,0.7367953057734573
3103412,0.9736246006882039,0.7423187251389604
3124381,0.9739926891133989,0.7465766618736971
3145350,0.9744157828651371,0.751624386055384
3166319,0.9748029522536177,0.7565159648731107
3187288,0.9748671275989557,0.7619174463064063
3208257,0.9751312965865934,0.7676711286762928
3229226,0.9751040250439305,0.7735667871940416
3250195,0.9751057889919185,0.7790731197039584
3271164,0.9753476588670471,0.7841793645736476
3292133,0.9756198648839837,0.788676489675381
3313102,0.9758243687743743,0.7937009867158482
3334071,0.9762075442226232,0.7985229864381225
3355040,0.976425003061624,0.8031878047917013
3376009,0.9767424942381616,0.8077451974343587
3396978,0.9771093521698513,0.812221625040556
3417947,0.9772964593854597,0.8169742698695888
3438916,0.9773763971983123,0.82254419210968
3459885,0.9776454315112693,0.8274174923147307
3480854,0.9778560745534859,0.8318654179495979
3501823,0.9784584500251962,0.8370953194249506
3522792,0.9786197109624502,0.8414748532426005
3543761,0.9790202149448722,0.8468360385036302
3564730,0.979338350640395,0.8523944328006148
3585699,0.9798741695499118,0.8587260562496969
3606668,0.980195857466394,0.8644100252159718
3627637,0.9806341905551976,0.8691955356684642
3648606,0.9811738253479524,0.873383565731206
3669575,0.9815997690462442,0.8788327622168024
3690544,0.9818277588846256,0.8837256010196421
3711513,0.9824789822372656,0.8881367548345062
3732482,0.983003378966754,0.8927358285303918
3753451,0.9834410783283024,0.8965632294287458
3774420,0.9838298875142337,0.9019415845081027
3795389,0.9843706163480445,0.9070227287255396
3816358,0.9848338336709871,0.9123138861900264
3837327,0.9851012152479669,0.9162404153959046
3858296,0.9858086687673875,0.9210763290760399
3879265,0.9861793608672352,0.9260833960557919
3900234,0.9867188613418874,0.9301560468126767
3921203,0.9871817015441359,0.935847722349203
3942172,0.9877674511354593,0.9412637998390555
3963141,0.9884004222829004,0.9459336093755978
3984110,0.9888814128573055,0.9514253050669299
4005079,0.9892472357300809,0.9571831161826799
4026048,0.9898163042405083,0.9614939446683638
4047017,0.9903603842558149,0.9662564742024186
4067986,0.9908448025847338,0.970543866146503
4088955,0.9915387168745597,0.9758626431887124
4109924,0.9923120402756412,0.9806178167355749
4130893,0.993346385922184,0.9863487063142745
4151862,0.9946068855490686,0.9909838085130477
4172831,0.9958949359097039,0.9954172827521542
4193800,0.999852885924807,0.9999604679214755
