,model
0,0.0
20969,0.08324504891707765
41938,0.14524832391304837
62907,0.2001201706503793
83876,0.23812154731778973
104845,0.27594979670801467
125814,0.3104432812809541
146783,0.34104190019234304
167752,0.3693975796207034
188721,0.3975791672249376
209690,0.42743640661198434
230659,0.4512665239992112
251628,0.47221834814442437
272597,0.4881558412667005
293566,0.5067585959205327
314535,0.5216040065838441
335504,0.5382485287744803
356473,0.5533071230452389
377442,0.5665397366585588
398411,0.5788353093663495
419380,0.5914761826165303
440349,0.6050135591083682
461318,0.6189754270818664
482287,0.6313562677341727
503256,0.6432918983106644
524225,0.6539602502217599
545194,0.6644514433916133
566163,0.6751272470733092
587132,0.6833988527219548
608101,0.693318909594813
629070,0.7007873276087675
650039,0.7083902517377052
671008,0.7154493652203989
691977,0.722805170080923
712946,0.7307388094257391
733915,0.738406115332339
754884,0.7452926886394936
775853,0.7518669232480496
796822,0.758926015269183
817791,0.764728135591209
838760,0.7699411608294763
859729,0.7767158241827612
880698,0.78313398988366
901667,0.7890490920534562
922636,0.7947175563931057
943605,0.7986544740796993
964574,0.8030278832614126
985543,0.8079183725757686
1006512,0.811719541819403
1027481,0.8171204503159888
1048450,0.8215120383586898
1069419,0.825655663375666
1090388,0.829756673592908
1111357,0.8326398569356093
1132326,0.836604346026034
1153295,0.8396388465896273
1174264,0.8423317496893385
1195233,0.8456520674793391
1216202,0.848613101015478
1237171,0.8515716883549882
1258140,0.8540686794729645
1279109,0.8571703786723536
1300078,0.8601272777408446
1321047,0.8619620011770565
1342016,0.8654388044667518
1362985,0.8677471744790513
1383954,0.8704228960836662
1404923,0.8728667135022423
1425892,0.8755738594783224
1446861,0.8772732384050261
1467830,0.879370991413408
1488799,0.8812628843996517
1509768,0.8832752850489018
1530737,0.8855342104952145
1551706,0.8882330654774616
1572675,0.8896816578465389
1593644,0.8910446655285951
1614613,0.893170982475116
1635582,0.8952071475410142
1656551,0.8969696891539435
1677520,0.8993741763518065
1698489,0.901594886068172
1719458,0.903440464269819
1740427,0.904936477879043
1761396,0.9064054412606192
1782365,0.9077490293079121
1803334,0.9089356187594207
1824303,0.910048560753617
1845272,0.9112178760891233
1866241,0.9123434790820845
1887210,0.914137538268001
1908179,0.9158600354954736
1929148,0.9173672849736573
1950117,0.9187762755921085
1971086,0.9202032401551259
1992055,0.9213541043471916
2013024,0.9230654003174845
2033993,0.9245076571833162
2054962,0.9257218408739387
2075931,0.9274725895773249
2096900,0.928729204529913
2117869,0.9305876693762846
2138838,0.9313748534752457
2159807,0.9325019257703671
2180776,0.9339108775052786
2201745,0.9348941523653979
2222714,0.9361504370528116
2243683,0.936964202463907
2264652,0.9371939311015207
2285621,0.9382921518162286
2306590,0.9392224862368284
2327559,0.9400620856969052
2348528,0.9411698486181314
2369497,0.942353599552672
2390466,0.9432993358736251
2411435,0.9444214315090406
2432404,0.9451266144554081
2453373,0.9456576186575179
2474342,0.9465196102297536
2495311,0.9472016339157442
2516280,0.9481122426657642
2537249,0.9491409474964183
2558218,0.9501101297914166
2579187,0.9510758985965095
2600156,0.9514268511287716
2621125,0.9522960596541953
2642094,0.9533997427297273
2663063,0.9537535141020808
2684032,0.9540142975047858
2705001,0.9551360738732926
2725970,0.9557786052268498
2746939,0.9572762729871105
2767908,0.9581081170292766
2788877,0.9586935640400422
2809846,0.9595084700277473
2830815,0.9602101282588521
2851784,0.9609682662715322
2872753,0.9617798979418616
2893722,0.962907145960283
2914691,0.9639486705002668
2935660,0.9645518096548733
2956629,0.9652861536206186
2977598,0.9659028983186231
2998567,0.9666012713051527
3019536,0.9675669538131138
3040505,0.9683356832567867
3061474,0.9689975222708286
3082443,0.9700279119612475
3103412,0.9705813077597915
3124381,0.9710693014086159
3145350,0.9716093984620763
3166319,0.9723504739268017
3187288,0.9728482984996504
3208257,0.9732011732910942
3229226,0.973674798209872
3250195,0.9742405180953855
3271164,0.9743415173418958
3292133,0.9751618568326428
3313102,0.9758837443731476
3334071,0.9762714339580537
3355040,0.9767506938181878
3376009,0.9776597939534714
3396978,0.9785206602554533
3417947,0.97938754672516
3438916,0.9801453655164272
3459885,0.9817152494885807
3480854,0.9817010204589778
3501823,0.9826057812762403
3522792,0.983203733528283
3543761,0.9832193138831766
3564730,0.983545178075456
3585699,0.9843080638308404
3606668,0.9846239293272514
3627637,0.9848378831545377
3648606,0.9854970101194672
3669575,0.9859712776351885
3690544,0.9859525117661392
3711513,0.9874469541889456
3732482,0.9882667334400077
3753451,0.9891361879591744
3774420,0.9896123616287357
3795389,0.9903154639133922
3816358,0.9909253897288728
3837327,0.9920734736856913
3858296,0.9927241196798635
3879265,0.9939063486064864
3900234,0.9945591723879351
3921203,0.9957183479913525
3942172,0.99680276344734
3963141,0.9972228524754663
3984110,0.997548962150001
4005079,0.9976630934602853
4026048,0.9979565533795884
4047017,0.9984423306079618
4067986,0.9986929700315562
4088955,1.0000517713850747
4109924,0.9999162078152919
4130893,1.000549264730191
4151862,1.0009788656921974
4172831,1.00056864366246
4193800,1.0000469981572875
