,model,Random
2054962,0.928154469766213,0.4941202607914417
2075931,0.9290252347536174,0.49977951154587846
2096900,0.9303991526658979,0.5044502019135365
2117869,0.9315287398279425,0.5083289903276477
2138838,0.9325755014529452,0.5134084585440805
2159807,0.9333345511468669,0.518103672561701
2180776,0.9342640978239606,0.523555444953631
2201745,0.9350083698112093,0.5284955180730906
2222714,0.9357514089917167,0.5336579027991122
2243683,0.9365728264209434,0.5381128849877356
2264652,0.937432154017168,0.5435225554308377
2285621,0.9381647518257019,0.5486019898081224
2306590,0.9392258004707685,0.552656332550339
2327559,0.9399393625295632,0.5574503115983769
2348528,0.9405892399638818,0.562351314185462
2369497,0.941180152614676,0.5672637198607959
2390466,0.9418903042730818,0.5730828938802234
2411435,0.9427302150416808,0.5778795333102849
2432404,0.9437502296832552,0.5838660701579748
2453373,0.9445073800834033,0.5885973425402855
2474342,0.9452538245104641,0.5946341706021998
2495311,0.945618158136892,0.5995147367596514
2516280,0.9464778731617564,0.604585126150712
2537249,0.9473381063218351,0.6103033194089509
2558218,0.9482861376087872,0.6154530369442136
2579187,0.9490598484848152,0.6205320354827849
2600156,0.9499167342636786,0.6258337733105271
2621125,0.9505248442618222,0.6304879671596696
2642094,0.9510516762600598,0.6347731992095367
2663063,0.9516458688377872,0.6400656727948435
2684032,0.9523048116405342,0.6447110874562991
2705001,0.9530614254075376,0.6487667798374493
2725970,0.9540072815035063,0.6530830496444406
2746939,0.9547097249393712,0.6569926763472368
2767908,0.9551283289357173,0.6622793161515498
2788877,0.9558400281183739,0.666835425800796
2809846,0.9566835082893936,0.6715362492876071
2830815,0.9572682147416958,0.6761203419056616
2851784,0.9578400914195007,0.6814563612885773
2872753,0.9584307284014907,0.6861151440866806
2893722,0.9588948409240785,0.6906343277670993
2914691,0.9594799921862116,0.6969360035655444
2935660,0.9603519223698619,0.7022055013347431
2956629,0.9612276848609411,0.706568144517977
2977598,0.9619276640024582,0.7116628687582167
2998567,0.9623605635509268,0.7176239138221376
3019536,0.9628683814078508,0.7222274565127281
3040505,0.9633071901995315,0.7265914895034652
3061474,0.9637239412950311,0.7317716577854522
3082443,0.964319846339808,0.7367953057734573
3103412,0.9648369441204012,0.7423187251389604
3124381,0.9652375579149621,0.7465766618736971
3145350,0.9657070798636618,0.751624386055384
3166319,0.9661690564489408,0.7565159648731107
3187288,0.9667225537933873,0.7619174463064063
3208257,0.9672723890591012,0.7676711286762928
3229226,0.9678115777132348,0.7735667871940416
3250195,0.9684067154269741,0.7790731197039584
3271164,0.9686099564645421,0.7841793645736476
3292133,0.969098380640952,0.788676489675381
3313102,0.9696034716451927,0.7937009867158482
3334071,0.9700369842451482,0.7985229864381225
3355040,0.9704955847323437,0.8031878047917013
3376009,0.97072412307815,0.8077451974343587
3396978,0.9713377419931657,0.812221625040556
3417947,0.9717301113464402,0.8169742698695888
3438916,0.9722348630322248,0.82254419210968
3459885,0.972713269532026,0.8274174923147307
3480854,0.9732061941028709,0.8318654179495979
3501823,0.9735810912092099,0.8370953194249506
3522792,0.9743355657402095,0.8414748532426005
3543761,0.9748414555695695,0.8468360385036302
3564730,0.9755660698752608,0.8523944328006148
3585699,0.9756483624629266,0.8587260562496969
3606668,0.9762279358501521,0.8644100252159718
3627637,0.9767912675354147,0.8691955356684642
3648606,0.9774873145631993,0.873383565731206
3669575,0.9779743494150639,0.8788327622168024
3690544,0.9784234633059384,0.8837256010196421
3711513,0.9792439963318496,0.8881367548345062
3732482,0.9797649400815969,0.8927358285303918
3753451,0.9801218420098626,0.8965632294287458
3774420,0.9805339629758727,0.9019415845081027
3795389,0.9813152334681984,0.9070227287255396
3816358,0.9819415878058925,0.9123138861900264
3837327,0.9827455162458005,0.9162404153959046
3858296,0.9832882007239435,0.9210763290760399
3879265,0.9838842998138164,0.9260833960557919
3900234,0.9846019289598894,0.9301560468126767
3921203,0.9852020970345284,0.935847722349203
3942172,0.9865608111102763,0.9412637998390555
3963141,0.9880653941929495,0.9459336093755978
3984110,0.989080602404211,0.9514253050669299
4005079,0.9901541001170848,0.9571831161826799
4026048,0.990846045315237,0.9614939446683638
4047017,0.9921006087073341,0.9662564742024186
4067986,0.9932215613902203,0.970543866146503
4088955,0.994707208048915,0.9758626431887124
4109924,0.9964452025356281,0.9806178167355749
4130893,0.9972559139133723,0.9863487063142745
4151862,0.9976088052701366,0.9909838085130477
4172831,0.9993574247444519,0.9954172827521542
4193800,1.0001370806848218,0.9999604679214755
